source	target	type	weight
ae1	can3	Undirected	12
ae1	tirsaved	Undirected	1
ae1	csx1	Undirected	0
ae1	nucc	Undirected	0
ae1	RelE	Undirected	0
ae1	can12	Undirected	2
ae1	csx6	Undirected	0
ae1	csm6-ca6	Undirected	0
ae1	calpl	Undirected	0
ae1	cora	Undirected	9
ae1	csx23	Undirected	0
can3	tirsaved	Undirected	0
can3	csx1	Undirected	0
can3	nucc	Undirected	0
can3	RelE	Undirected	0
can3	can12	Undirected	0
can3	csx6	Undirected	0
can3	csm6-ca6	Undirected	0
can3	calpl	Undirected	0
can3	cora	Undirected	10
can3	csx23	Undirected	0
tirsaved	csx1	Undirected	1
tirsaved	nucc	Undirected	0
tirsaved	RelE	Undirected	0
tirsaved	can12	Undirected	0
tirsaved	csx6	Undirected	0
tirsaved	csm6-ca6	Undirected	0
tirsaved	calpl	Undirected	0
tirsaved	cora	Undirected	0
tirsaved	csx23	Undirected	0
csx1	nucc	Undirected	0
csx1	RelE	Undirected	20
csx1	can12	Undirected	21
csx1	csx6	Undirected	37
csx1	csm6-ca6	Undirected	0
csx1	calpl	Undirected	10
csx1	cora	Undirected	1
csx1	csx23	Undirected	1
nucc	RelE	Undirected	0
nucc	can12	Undirected	0
nucc	csx6	Undirected	0
nucc	csm6-ca6	Undirected	0
nucc	calpl	Undirected	0
nucc	cora	Undirected	0
nucc	csx23	Undirected	0
RelE	can12	Undirected	6
RelE	csx6	Undirected	7
RelE	csm6-ca6	Undirected	0
RelE	calpl	Undirected	1
RelE	cora	Undirected	0
RelE	csx23	Undirected	0
can12	csx6	Undirected	73
can12	csm6-ca6	Undirected	0
can12	calpl	Undirected	3
can12	cora	Undirected	3
can12	csx23	Undirected	0
csx6	csm6-ca6	Undirected	0
csx6	calpl	Undirected	0
csx6	cora	Undirected	1
csx6	csx23	Undirected	0
csm6-ca6	calpl	Undirected	0
csm6-ca6	cora	Undirected	0
csm6-ca6	csx23	Undirected	0
calpl	cora	Undirected	0
calpl	csx23	Undirected	0
cora	csx23	Undirected	0
